,filmoNames,peopleCd,peopleNm,repRoleNm
81,방황하는 칼날|베스트셀러|용서는 없다|슈퍼맨이었던 사나이|좋지 아니한가|흡혈형사 나도열|령|청풍명월(淸風明月)|마고|물위의 하룻밤,10057331,이정호,감독
82,관음증|살인캠프|듀엣,10055857,이상빈,감독
83,삼거리극장|육다골대녀|경|연분|별별 이야기 2-여섯 빛깔 무지개|별별 이야기,10056580,이애림,감독
84,"향단이 나르샤 감독판|정사2: 친구 새엄마-무삭제판|대물 변강쇠|정사2: 친구 새엄마-감독판|덫|정사: 친구 엄마|스캔들 III|스캔들 II|탐정사무소-그놈의 얼굴 무삭제판|탐정사무소-그놈의 얼굴|욕망의 독: 중독|위험한 유혹 - 추억이 떠나면 외로움만 남는다|섹스, 거짓말 그리고 비디오 테이프",20128850,이동현,감독
85,착한 장모님들과의 정사(감독판)|젊은 처형: 그녀를 탐하다|작은 엄마들|친구 딸들의 맛(감독판)|사촌 여동생들: 금단의 사랑(무삭제)|착한 장모들(무삭제)|착한 장모님들과의 정사|친구 딸들의 맛|친구엄마: 여자친구의 엄마를 탐하다(무삭제)|착한 장모들|사촌 여동생들: 금단의 사랑|친구엄마: 여자친구의 엄마를 탐하다|젊은 형수님: 내 여자가 되던 날|부부교환섹스 3-무삭제판|부부교환의 날: 젊은 사모님을 탐하다-무삭제판|수상한 진료실: 엄마친구의 특별한 치료-무삭제판|내 엄마의 친구: 완숙한 육체를 탐하다-무삭제판|젊은 형수: 형의 여자를 탐하다(무삭제)|착한 새엄마 -무삭제판|부부교환섹스 3|부부교환의 날: 젊은 사모님을 탐하다|내 이웃의 아내 3 (무삭제)|젊은 형수님: 형의 여자를 탐하다 -무삭제판|친구엄마: 이혼한 그녀의 남자가 되던 날 (무삭제)|작은 엄마 2: 삼촌의 여자들 (무삭제)|수상한 진료실: 엄마친구의 특별한 치료|내 친구의 아내 3 (무삭제)|내 엄마의 친구: 완숙한 육체를 탐하다|친구엄마: 그녀의 병간호 (무삭제)|부부교환의 날 2017: 친구의 아내를 탐하다 -무삭제판|젊은 형수: 형의 여자를 탐하다|새엄마 2: 그녀의 남자가 되다 (무삭제)|내 이웃의 아내 3|부부교환섹스 2 (무삭제)|착한 엄마 (무삭제)|착한 새엄마|작은 엄마 2: 삼촌의 여자들|친구엄마: 이혼한 그녀의 남자가 되던 날|내 친구의 아내: 만져봐도 될까요? (무삭제)|젊은 형수님: 형의 여자를 탐하다|새엄마 2: 그녀의 남자가 되다|부부교환섹스 2|친구엄마: 그녀의 병간호|부부교환의 날 2017: 친구의 아내를 탐하다|착한 엄마|내 친구의 아내 3|만화가게 아줌마: 손님이 없던 날 (무삭제)|내 친구의 아내: 만져봐도 될까요?|만화가게 아줌마: 손님이 없던 날,20279429,강정훈,감독
86,착한 처형 : 아내를 대신하다 무삭제판|엄마친구의 섹스 무삭제판|엄마 친구 : 그녀의 섹스고백 무삭제판|스와핑 : 형의 여자 무삭제판|직장 스와핑 : 예쁜 여직원들 무삭제판|새엄마의 섹스 교육 무삭제판|엄마 친구 : 그녀의 섹스고백|새엄마와 그녀의 여동생 무삭제판|새엄마의 섹스 교육|직장 스와핑 : 예쁜 여직원들|스와핑 : 형의 여자|엄마 친구의 섹스|착한 처형 : 아내를 대신하다|정사 : 내 친구의 애인 무삭제판|예쁜 형수 무삭제판|회사 스와핑 : 사장과 여직원들 무삭제판|내 아들의 여자 무삭제판|음란한 형제 : 형수와 처제 무삭제판|엄마 친구 : 여자를 배우다 무삭제판|새엄마 : 나의 섹스 교사 무삭제판|음란한 형제 : 형수와 처제|내 아들의 여자|예쁜 형수|새엄마 : 나의 섹스 교사|정사 : 내 친구의 애인|엄마 친구 : 여자를 배우다|회사 스와핑 : 사장과 여직원들|새엄마와 그녀의 여동생,20278889,최강호,감독
87,"바람, 돌 그리고 여자|SESIFF2016 지하철경쟁",20262189,김성민,감독
88,쉐어 프랑스|멜팅 팝|SESIFF2016 지하철경쟁,20262119,알렉상드르 뒤보스크,감독
89,맨헌트|태평륜 완결편|태평륜 피안|태평륜|건당위업|검우강호|무적자|적벽대전 2 : 최후의 결전|적벽대전:거대한 전쟁의 시작|보이지 않는 아이들|페이첵|윈드 토커|미션 임파서블 2|블랙잭|페이스오프|낭만풍폭 |브로큰 애로우 |하드 타겟|첩혈속집|종횡사해|첩혈가두|흑전사|첩혈쌍웅|영웅본색 2|영웅본색|구사일생|충열도|소림문|용호문,10050630,오우삼,감독
90,"영건 탐정사무소|에일리언 비키니|싸움|황진이|한반도|무영검|달마야, 서울 가자|두사부일체|라이방|썸머 타임|도망가자|틈사이|폐인킬러|슈퍼스타|이웃집 좀비",10050570,오영두,감독
91,레버넌트: 죽음에서 돌아온 자|버드맨|베리만 통과하기|비우티풀|그들 각자의 영화관|바벨|21 그램|2001년 9월 11일|아모레스 페로스,10044433,알레한드로 곤잘레스 이냐리투,감독
92,"토요일다세대주택|두 소년의 시간|다녀오겠습니다|무슨 일이야? |콕!애니 - [섹션1] Between : 너와 나의 사이|인디애니페스트2016-독립보행1|맨 업+다섯 번째 계절+괴물 포보스씨+까망이+두 소년의 시간+Good Man|지금, 만나러 가요|인디애니페스트2015-독립보행2|별별 이야기 2-여섯 빛깔 무지개",20144977,전승배,감독
93,죄 많은 소녀|곡성|오명|구해줘! |오늘은 내가 요리사| 제17회 대구단편영화제 경쟁8,20113602,김의석,감독
94,이월|가시|날  놓아줘|가족의 탄생,10005808,김중현,감독
95,사뮤엘 오브 더 씨|메타칼퍼스|제 3의 앵글 메이드인스쿨 3 - 그리피스영화학교,20241528,로버트 콜레스,감독
96,라스트 갓파더|디워|2001용가리|용가리|드래곤 투카|파워킹|티라노의 발톱|핑크빛 깡통|영구와 공룡 쮸쮸|개그특공대 로봇트윈스|우뢰매 7 : 돌아온 우뢰매|영구와 흡혈귀 드라큐라|머저리와 도둑놈|영구와 황금박쥐|내일은 참피온|영구와 땡칠이 4탄-홍콩할매귀신|영구와 꼬마삼총사|별난 두 영웅|영구와 땡칠이 3탄-영구람보|가보면 알거야|심형래의 쫄병군단|소쩍궁 탐정|영구와 땡칠이 소림사가다|영구와 땡칠이|스파크맨(Spark Man)|뉴머신 우뢰메 5탄|슈퍼홍길동|우뢰매 4탄 썬더브이출동|서울은 여자를 좋아해|외계에서 온 우뢰매 전격 쓰리 작전|따귀일곱대|외계에서 온 우뢰매 2|우뢰매 : 외계에서 온 우뢰매|심형래의 탐정큐|작년에 왔던 각설이|철부지|각설이 품바타령,10040912,심형래,감독
97,의뢰인|약탈자들|극장전|상암동 월드컵 사람은 철거되지 않는다|죽은 개|환상극장|원 나잇 스탠드|여섯 개의 시선,10036874,손영성,감독
98,황야의 동업자,20110229,세르지오 코부찌,감독
99,올리버,20110179,캐럴 리드,감독
100,나의 투쟁,20110139,어윈 레이저,감독
101,재회|지옥도|해에게서 소년에게|연길|쉰|10분|가리봉|무빙|심도|집|간증|짐승의 끝|파수꾼|너와 나의 21세기|나는 곤경에 처했다!|여자 없는 세상|이공|낙타(들)|장선우 변주곡|모텔 선인장|그 섬에 가고 싶다|한희작의 러브러브|디지털 탐색|가족,10028506,박기용,감독
102,참외향기|종소리|고양이|경쟁 4 - 2015 전북독립영화제,20218647,김우석,감독
103,대호|화산고래|다이노 타임|비밀둥지|베누스 푸디카|인디애니페스트2016-독립보행1|BIAF2015-(국제경쟁) 학생 A,20207326,김은진,감독
104,빅뱅|컨페서,10019829,르윈 웹,감독
105,"군함도|군함도 감독판|베테랑|베를린|평양성|부당거래|해결사|다찌마와리|감독들, 김기영을 말하다|짝패|주먹이 운다(Crying Fist)|아라한 장풍대작전|오아시스|피도 눈물도 없이|죽거나 혹은 나쁘거나|타임리스|남자니까 아시잖아요?|다찌마와리|현대인|패싸움|4월 단편 상상극장-박정민 헤는 밤|신촌좀비만화|제14회 미쟝센 단편 영화제 류승완 단편 특별전2|다섯 개의 시선|유령",10019069,류승완,감독
106,발명가,20166241,김재준,감독
107,"팔월, 비|블러디쉐이크",10005846,김지용,감독
108,응징자|결정적 한방|커플즈|죽이고 싶은|슬픈크리스마스푸딩|울리불리다이어트|몰락 취미를 꿈꾸다|하지|샴 하드 로맨스|엄마의 사랑은 끝이 없어라|좀비처럼 걸어봐|인디포럼2015 특별1,10005544,김정구,감독
109,엄마의 공책|개를 훔치는 완벽한 방법|회칼 소녀|그녀에게|검은 집|거울속으로|인 굿 컴퍼니|Penny Lover|해피버스데이|보물섬|홈 비디오(Home Video)|아이 디 아이|무서운 이야기 2|가족시네마|화이팅 패밀리|황금시대|판타스틱 자살소동|눈부신 하루|무서운 이야기 2 '절벽',10004652,김성호,감독
110,천사는 바이러스|길위에서|오하이오 삿포로|오디션|오하이오 삿포로+33리,10004626,김성준,감독
111,길|태양은 없다|비트|런어웨이,10004481,김석우,감독
112,"치명도수: RESET|더 테너 리리코 스핀토|마담 뺑덕|더테너 리리코 스핀토 감독판|고지전|심야의 F.M.|파주|걸스카우트|그놈 목소리|조폭마누라3|중천|싸이보그지만 괜찮아|구미호 가족|괴물|사생결단|맨발의 기봉이|청연|태풍|6월의 일기|러브토크|사랑니|너는 내 운명|이대로, 죽을 순 없다(Short Time)|친절한 금자씨|천군|연애의 목적|간 큰 가족|그때 그 사람들|여고괴담 4 : 목소리|안녕, 형아|혈의 누|내 머리 속의 지우개|분신사바|효자동 이발사|범죄의 재구성|고독이 몸부림칠 때|바람난 가족|후아유|버스, 정류장|공동경비구역 JSA|해피엔드|해가 서쪽에서 뜬다면",10004407,김상만,감독
113,"빛나는|앙: 단팥 인생 이야기|컬러 오브 아시아 -  마스터스|아마미|한여름의 판타지아|소년, 소녀 그리고 바다|너를 보내는 숲|출산|사라소주|벚꽃 편지|캬카라바아|호타루|수자쿠|달팽이: 나의 할머니|코마|그림자|어떤 방문 : 디지털 삼인삼색2009",10000249,가와세 나오미,감독
114,폭주미망인-다빌려드립니다,10076695,시즈미 다이케이,감독
115,물방울 원피스의 유부녀,10027704,미타니 유키오,감독
116,"극한직업|바람 바람 바람|스물|오늘의 연애|타짜-신의 손|힘내세요, 병헌씨|네버엔딩 스토리|써니|과속스캔들|냄새는 난다",20125862,이병헌,감독
117,너의 결혼식|부라더|범죄도시|누가 예수를 죽였는가?,10055945,이석근,감독
118,염력|서울역|카이: 거울 호수의 전설|부산행|졸업반|창백한 얼굴들|화산고래|사이비|돼지의 왕|집으로|창|사랑은 단백질|지옥: 두개의 삶|지옥|콕!애니 - [섹션2] VIEW : 세상보기|연상호 감독 특별전 : 지옥의 시네마|7월 수요단편극장 “연상호 감독 특별전”|제14회 미쟝센 단편 영화제 웃는 게 웃는 게 아니야  |SICAF2015 연상호 단편선|애정만세|인디포럼2015 특별2,10049814,연상호,감독
119,"어떤 여행, 시민창작뮤지컬|카토 프로젝트|비단꽃길",20125808,김정욱,감독
120,60일의 썸머,20308613,김희영,감독
121,꿈을 열다! 조은이의 개꿈,20308612,심영화,감독
122,오비터 9,10056567,하템 크레이치,감독
123,불륜에 맛들린 순진한 아내,20308611,아라시야마 미치루,감독
124,명탐정 코난 : 제로의 집행인,10021027,타치카와 유즈루,감독
125,논스톱: 다마스커스 타겟,10055749,이브라힘 하타미키아,감독
126,"그날의 기억|마이 웨이|좋은 놈, 나쁜 놈, 이상한 놈 |다찌마와리|시간|짝패|마피아 게임|인디포럼2014 A to Z",20304229,김동후,감독
127,부드러운 여주인:단단한 물건을 원해,20308610,우미야마 테루카즈,감독
128,동창회:그녀와 하던 날,20308629,Z.아라이,감독
129,"덕구|반두비|뷰티풀 선데이|왕의 남자|달마야, 서울 가자|패밀리|워싱 머신",20302149,방수인,감독
130,혈랑: 붉은전사,10085038,프레드 완,감독
131,"오목소녀|걷기왕|오늘영화|반드시 크게 들을 것 2 : Wild Days|춤추는 동물원|반드시 크게 들을 것|백역사|화목한 수레|지각생들|잘 자, 좋은 꿈꿔!|10월 수요단편극장 <걷기왕> 개봉 기념 특별전|한국 환경영화의 흐름 단편 3",10030331,백승화,감독
132,게이트-완결판|게이트|대결|치외법권|따라지: 비열한 거리 무삭제판|따라지 : 비열한 거리|응징자|웨딩스캔들|서유기 리턴즈|4교시 추리영역|못말리는 결혼|내사랑 싸가지|유아독존|동감,20111176,신재호,감독
133,아큐페이션,10050345,루크 스파크,감독
134,여교사 : 제자와의 사랑|정사 : 처제의 사랑,20308569,최민,감독
135,필동|종이 비행기,20285152,필동,감독
136,온 더 로드,20308551,김민준,감독
137,헬렌,20308550,김지현,감독
138,,20308343,에릭 자라고자,감독
139,,20308342,헬피 카르딧,감독
140,"중고, 폴|초청 2 - 2016 전북독립영화제|제17회 대구단편영화제 경쟁3",20242029,김은영,감독
141,인형,20308341,손현교,감독
142,"제자리, 멀리뛰기",20308529,남가원,감독
143,섬,20308340,이동석,감독
144,잡식가족의 딜레마|어느날 그 길에서|침묵의 숲|작별|광장의 닭,10090225,황윤,감독
145,유 어 마이 선샤인|디스크 조각모음|관점|지워버리다|SIDOF2017_9 와 0 사이/You are my../서른/탈|판타스틱 단편 걸작선 8|제13회 미쟝센 단편영화제 심야의 절대구타 360|인디포럼2014 조각난 아우성|제13회 미쟝센 단편영화제 절대악몽1,20113177,황보새별,감독
146,늦은 점심,20308495,김유리,감독
147,늦은 점심,20308496,정재은,감독
148,짝사랑,20308338,윤병준,감독
149,사탄가게,20308337,임동수,감독
150,러브 어페어,20308336,이효림,감독
151,애완동물,20308494,서대헌,감독
152,광화문 만세전,20308493,권남기,감독
153,"스웻, 스윗",20308335,양근혁,감독
154,"스웻, 스윗",20308492,류종엽,감독
155,남자가 사랑할 때,20308491,조재원,감독
156,남자가 사랑할 때,20308490,최지현,감독
157,경계에서,20308334,폴 우,감독
158,,20308489,폴 부쉬,감독
159,환생령|그루지: 죽은 자의 저주,10043969,돈 호에,감독
160,해적왕 작스톰,10085389,필립 귀엔,감독
161,루나,10047814,엘자 디링거,감독
162,성혜의 나라|여수 밤바다,20276669,정형석,감독
163,원스 어폰 어 타임 인 베니스,10075255,롭 컬렌,감독
164,원스 어폰 어 타임 인 베니스,10075253,마크 컬렌,감독
165,타타라 사무라이,10038009,니시코리 요시노리,감독
166,새터데이 처치,10057058,데이먼 카다시스,감독
167,쿵푸 크로니클,10052846,마이위수,감독
168,좀의 여행,20308349,엄정원,감독
169,Air. ratio,20308330,이세은,감독
170,수상한 노래방,20308289,감수성,감독
171,더 복서,20308269,황동석,감독
172,극장판 헬로카봇 : 백악기 시대|헬로 카봇,20306433,김진철,감독
173,극장판 헬로카봇 : 백악기 시대|헬로 카봇,20306533,최신규,감독
174,유라|오발탄|AISFF2016 국제경쟁 3,20256037,김호,감독
175,공존,20308231,안종일,감독
176,갈 곳 없는|아가페,20284249,손현록,감독
177,늙은 개,20308230,최민호,감독
178,시인의 말실수,20308210,김주안,감독
179,"소리, 공간, 영화에 대한 나름의 연출론",20308229,이병기,감독
180,저주의 몫|낯선 물체|악의 손길|불온한 검은 피|질식|제17회 대구단편영화제 경쟁1|인디포럼2014 몽환과 악몽 사이,20121470,박준석,감독
181,원 데이,20308209,남인건,감독
182,고백,20308189,정아름,감독
183,사랑은 가위바위보,20288330,엄이랑,감독
184,병석이 동생 봉석이|해방,20302832,박지혜,감독
185,내게 남은 사랑을|할머니는 일학년|려수|뷰티풀 선데이,10070411,진광교,감독
186,"여름, 버스",20308170,류진아,감독
187,"여름, 버스",20308169,조범식,감독
188,신호인,20305970,김한솔,감독
189,"다시, 오늘",20308139,김준우,감독
190,사랑옵다,20260627,윤선주,감독
191,1987|바빠서,20299130,옥대훈,감독
192,여름의 소리,20305990,김현정,감독
193,소리: 청각장애를 가진 학생과의 특별한 이야기,20308137,김남규,감독
194,디펜스 게임,20308136,정지환,감독
195,상담,20288703,김재혁,감독
196,프레스|다정함의 세계 ,20301289,왕민정,감독
197,프레스|다정함의 세계 ,20301370,이상진,감독
198,검은 나비야 날아라,20308160,정기용,감독
199,우유 드링크 러브?,20308135,김용승,감독
200,"자연과 우리, 함께!",20308158,김영혜,감독
201,아역배우 박웅비,20308134,김슬기,감독
202,그림자 놀이,20308133,황성하,감독
203,선물,20308157,한정아,감독
204,소나기,20289969,권지수,감독
205,무지개 약,20308155,최주연,감독
206,52Hz,20308132,최원우,감독
207,호잡도,20308154,이지혜,감독
208,그녀의 속도,20308153,한여울,감독
209,문어를 그리는 아이|지구의 아이들 단편 1 |2월 금요단편극장-애니식스,20178602,한여울,감독
210,뚝딱뚝딱 히뽀뽀,20285149,이유민,감독
211,좋은 날,20308131,해주오,감독
212,그림일기,20308130,성열은,감독
