title,ActorCD,ActorAvgP,ActorSumP,ActorMinP,ActorMaxP
"좋은 놈, 나쁜 놈, 이상한 놈",10037018,37632110651,6.77378E+11,4243936350,95868830649
더 킹,10066899,26855078512,80565235535,11664597600,43488814535
독전,10067353,22066928181,8.82677E+11,235292500,135753322310
검은 사제들,10005276,24665075936,6.90622E+11,1453890000,93665632500
공작,10090290,26051666498,7.55498E+11,273120000,110933981730
공작,20111869,16000667349,1.92008E+11,1913087600,62697419249
웰컴 투 동막골,10040665,10463864360,1.67422E+11,522848900,40328508500
의형제,10037018,37632110651,6.77378E+11,4243936350,95868830649
더 테러 라이브,10087253,29076804145,9.01381E+11,274134500,115706188137
아저씨,10052465,26742042700,1.3371E+11,11090682500,47102707500
숨바꼭질,20111125,11915827646,1.4299E+11,243405000,48700887413
감시자들,10035772,19385766013,4.26487E+11,759481000,81025004000
완득이,10005276,24665075936,6.90622E+11,1453890000,93665632500
타워,10035772,19385766013,4.26487E+11,759481000,81025004000
"님아, 그 강을 건너지 마오",20198488,37356780079,37356780079,37356780079,37356780079
군도: 민란의 시대,10087253,29076804145,9.01381E+11,274134500,115706188137
범죄와의 전쟁: 나쁜놈들 전성시대,10072251,31786860561,4.45016E+11,1928502500,135753322310
미녀는 괴로워,10004885,16376849241,98261095444,753985500,43488814535
타짜,10066380,24173591466,2.6591E+11,240262112,98463522781
판도라,10003788,17673107185,2.12077E+11,263049900,66372140706
조선명탐정 : 각시투구꽃의 비밀,10004060,15764048766,2.36461E+11,1246200228,36067171064
도가니,10062071,12642700856,2.40211E+11,237013700,93042352648
도가니,10062072,4064795333,12194386000,620874000,7763409000
도가니,20157089,9179188500,9179188500,9179188500,9179188500
강철비,10062025,15739386249,2.20351E+11,2139360500,43488814535
아가씨,10004236,9370094548,84330850929,439840592,35211229991
신세계,10057315,51004139315,7.14058E+11,220051200,115706188137
내 아내의 모든 것,10058646,10310393795,1.23725E+11,217269000,44092710000
추격자,10005276,24665075936,6.90622E+11,1453890000,93665632500
바람과 함께 사라지다,10071209,20126261981,3.01894E+11,459220000,115706188137
연가시,10004060,15764048766,2.36461E+11,1246200228,36067171064
투사부일체,10062240,12037769525,1.44453E+11,220051200,55069686503
꾼,10088975,17281196926,1.3825E+11,253673000,63783051326
남한산성,10055626,23303988239,3.26256E+11,1159253000,88908642769
조선명탐정 : 사라진 놉의 딸,10004060,15764048766,2.36461E+11,1246200228,36067171064
건축학개론,10047367,11162693000,1.2279E+11,1194185500,30220536000
댄싱퀸,10090290,26051666498,7.55498E+11,273120000,110933981730
댄싱퀸,20111869,16000667349,1.92008E+11,1913087600,62697419249
용의자,10001901,25470824016,2.54708E+11,1651122533,93042352648
역린,10088975,17281196926,1.3825E+11,253673000,63783051326
신의 한 수,10062025,15739386249,2.20351E+11,2139360500,43488814535
강철중: 공공의 적 1-1,10035772,19385766013,4.26487E+11,759481000,81025004000
가문의 위기(가문의 영광2),10040687,9166187590,91661875900,386192500,28622355500
박수건달,10028888,10170924267,40683697069,1729412500,28379548569
그것만이 내 세상,10055626,23303988239,3.26256E+11,1159253000,88908642769
귀향,10036856,17683544159,53050632476,262191500,27248705990
마녀,20302909,14235870178,28471740355,1229698892,27242041463
끝까지 간다,10055970,7475272746,1.49505E+11,273384900,34222160500
탐정: 리턴즈,10002387,11007491975,1.10075E+11,3837152000,26909477678
7급 공무원,10006171,17422181100,1.91644E+11,363240500,115706188137
7급 공무원,20227594,20463956973,20463956973,20463956973,20463956973
말아톤,10066380,24173591466,2.6591E+11,240262112,98463522781
우리 생애 최고의 순간,10026732,11552042921,2.19489E+11,237013700,58167040145
우리 생애 최고의 순간,20229807,56598333057,56598333057,56598333057,56598333057
부러진 화살,10043371,15195210043,2.73514E+11,1074486100,44098470600
아이 캔 스피크,10006877,16706782390,1.83775E+11,1545587500,62697419249
이끼,10062184,11004243706,2.64102E+11,327192000,40328508500
쌍화점,10066899,26855078512,80565235535,11664597600,43488814535
스파이,10035772,19385766013,4.26487E+11,759481000,81025004000
포화속으로,10071140,10677273678,1.60159E+11,599122500,43484892913
프리즌,10087518,11578478561,1.5052E+11,934380300,52355568637
스물,20170901,30832731962,1.23331E+11,19894297783,58068236865
형,20121022,22748786132,1.8199E+11,1614867156,66007533500
퀵,20166879,20723095423,1.65785E+11,594082500,95868830649
방자전,10005749,11122265806,2.00201E+11,844714600,63783051326
극비수사,10005276,24665075936,6.90622E+11,1453890000,93665632500
표적,10019065,28834863777,6.63202E+11,230047000,135753322310
태풍,20130653,3865123500,3865123500,3865123500,3865123500
태풍,10006392,13164504267,78987025600,8842295700,22209675300
헬로우 고스트,10071209,20126261981,3.01894E+11,459220000,115706188137
오싹한 연애,10036883,23056183424,3.68899E+11,2027581239,66372140706
고지전,10040665,10463864360,1.67422E+11,522848900,40328508500
친구 2,10053861,8071799496,56502596474,2856859132,21804687513
감기,20127892,30037161000,30037161000,30037161000,30037161000
감기,10060612,7480740869,59845926951,1077451000,21774884000
하모니,10005297,24064494314,1.92516E+11,1020724600,110933981730
곤지암,20301569,21442169144,21442169144,21442169144,21442169144
목격자,20110148,22098064665,3.53569E+11,1302907128,82871781800
목격자,20195609,3759644486,7519288972,3396292000,4122996972
살인자의 기억법,10035772,19385766013,4.26487E+11,759481000,81025004000
26년,10070417,25541894614,4.34212E+11,329280000,135753322310
부당거래,10090290,26051666498,7.55498E+11,273120000,110933981730
부당거래,20111869,16000667349,1.92008E+11,1913087600,62697419249
보안관,20110148,22098064665,3.53569E+11,1302907128,82871781800
보안관,20195609,3759644486,7519288972,3396292000,4122996972
지금 만나러 갑니다,10036685,19238221159,96191105796,7591008500,50510565168
거북이 달린다,10005276,24665075936,6.90622E+11,1453890000,93665632500
한반도,10066929,7553381937,83087201311,255508579,29894157890
아수라,10062025,15739386249,2.20351E+11,2139360500,43488814535
친절한 금자씨,10056670,20483051393,20483051393,20483051393,20483051393
탐정 : 더 비기닝,10002387,11007491975,1.10075E+11,3837152000,26909477678
내가 살인범이다,10062184,11004243706,2.64102E+11,327192000,40328508500
조작된 도시,20187851,9414134529,28242403587,2296093000,20143992587
공공의 적 2,10035772,19385766013,4.26487E+11,759481000,81025004000
마더,10006390,9542629122,28627887365,2329754965,19967462500
기술자들,20170901,30832731962,1.23331E+11,19894297783,58068236865
조선명탐정: 흡혈괴마의 비밀,10004060,15764048766,2.36461E+11,1246200228,36067171064
시라노; 연애조작단,10047367,11162693000,1.2279E+11,1194185500,30220536000
신기전,10062184,11004243706,2.64102E+11,327192000,40328508500
7광구,10087280,13632511792,1.77223E+11,363098800,81025004000
후궁 : 제왕의 첩,10066680,14375666330,86253997979,1201963479,22486492000
재심,10062023,9114386351,1.36716E+11,253673000,60175111015
위험한 상견례,10037095,9384765472,1.31387E+11,357963117,22486492000
타짜-신의 손,10072431,12851262605,77107575630,209955500,32373120927
워낭소리,10072544,19075737900,19075737900,19075737900,19075737900
식객,10003507,6640451677,1.26169E+11,304884500,18979312500
굿모닝 프레지던트,20166869,8236128375,32944513500,440536500,18567863300
소원,10035772,19385766013,4.26487E+11,759481000,81025004000
화차,10055970,7475272746,1.49505E+11,273384900,34222160500
블라인드,10006171,17422181100,1.91644E+11,363240500,115706188137
블라인드,20227594,20463956973,20463956973,20463956973,20463956973
박열,20294611,50510565168,50510565168,50510565168,50510565168
박열,10057349,15944309591,1.27554E+11,1658653000,30220536000
너의 결혼식,10028667,15135598461,1.51356E+11,748936684,53800771400
너의 결혼식,20154835,20189905200,60569715600,1797632500,54035565100
반창꼬,10001656,11793168277,1.17932E+11,759481000,31225419792
의뢰인,10029595,10996595329,2.41925E+11,327192000,58167040145
가문의 영광4 - 가문의 수난,10004748,9956980551,1.89183E+11,389374500,28622355500
강남 1970,20289561,20143992587,20143992587,20143992587,20143992587
강남 1970,20185376,16838975700,50516927099,4159767500,28638460100
강남 1970,20111408,12634170924,50536683695,9731838195,18979312500
강남 1970,20111409,10267556000,10267556000,10267556000,10267556000
화이: 괴물을 삼킨 아이,10049790,15005385746,90032314474,284106600,58167040145
너는 내 운명,10061252,7532783870,75327838698,1651122533,17653752500
그놈 목소리,10035772,19385766013,4.26487E+11,759481000,81025004000
황해,10005276,24665075936,6.90622E+11,1453890000,93665632500
악의 연대기,20111125,11915827646,1.4299E+11,243405000,48700887413
하녀,10061252,7532783870,75327838698,1651122533,17653752500
내부자들: 디 오리지널,20210527,9731838195,9731838195,9731838195,9731838195
내부자들: 디 오리지널,20231126,59580494194,1.78741E+11,16973885275,105169264250
굿바이 싱글,10006380,25105599624,3.51478E+11,1849140000,93665632500
마파도,10004748,9956980551,1.89183E+11,389374500,28622355500
나의 사랑 나의 신부,20121022,22748786132,1.8199E+11,1614867156,66007533500
봉이 김선달,10053782,6490199697,64901996969,309575000,18390012500
봉이 김선달,20151905,4271750500,4271750500,4271750500,4271750500
뷰티 인사이드,10087820,20633201751,2.06332E+11,637892500,88908642769
가문의 부활 - 가문의 영광3,10040687,9166187590,91661875900,386192500,28622355500
마이 웨이,10060114,13187245466,92310718259,3969337524,22209675300
이웃사람,10005297,24064494314,1.92516E+11,1020724600,110933981730
쩨쩨한 로맨스,10055970,7475272746,1.49505E+11,273384900,34222160500
태극기 휘날리며,10060114,13187245466,92310718259,3969337524,22209675300
미인도,10004185,5791319750,23165279000,2139483000,15655329500
내 사랑 내 곁에,10087280,13632511792,1.77223E+11,363098800,81025004000
1번가의 기적,10087280,13632511792,1.77223E+11,363098800,81025004000
초능력자,10000558,24448106931,4.64514E+11,1859615500,77319445264
초능력자,20122651,10136738500,10136738500,10136738500,10136738500
몽타주,10047352,12200116229,1.95202E+11,274964000,81025004000
음란서생,10087518,11578478561,1.5052E+11,934380300,52355568637
우리들의 행복한 시간,10000558,24448106931,4.64514E+11,1859615500,77319445264
우리들의 행복한 시간,20122651,10136738500,10136738500,10136738500,10136738500
오늘의 연애,10056227,12701764963,25403529925,10478875438,14924654487
오늘의 연애,20158858,10086067500,10086067500,10086067500,10086067500
박쥐,10037018,37632110651,6.77378E+11,4243936350,95868830649
내 생애 가장 아름다운 일주일,10090290,26051666498,7.55498E+11,273120000,110933981730
내 생애 가장 아름다운 일주일,20111869,16000667349,1.92008E+11,1913087600,62697419249
마당을 나온 암탉,10026732,11552042921,2.19489E+11,237013700,58167040145
마당을 나온 암탉,20229807,56598333057,56598333057,56598333057,56598333057
노무현입니다,10008060,8039054356,16078108712,1519091100,14559017612
남자가 사랑할 때,10090290,26051666498,7.55498E+11,273120000,110933981730
남자가 사랑할 때,20111869,16000667349,1.92008E+11,1913087600,62697419249
바르게 살자,10062184,11004243706,2.64102E+11,327192000,40328508500
나의 PS 파트너,10069957,5280222346,15840667037,251079500,12367486506
연애의 온도,10055447,16929219775,1.86221E+11,1006594000,81025004000
글러브,10000736,14565679426,3.05879E+11,311840500,36067171064
해결사,20183236,15191410570,1.36723E+11,3460460230,27007303900
세븐 데이즈,10005297,24064494314,1.92516E+11,1020724600,110933981730
애자,20307789,18459203000,18459203000,18459203000,18459203000
애자,20166040,16512777750,33025555500,13633902000,19391653500
아이들...,10028989,7364739057,95741607739,937877400,13579712500
쎄시봉,10005276,24665075936,6.90622E+11,1453890000,93665632500
제보자,10029474,20772740015,4.15455E+11,470675000,66715881300
대호,10072251,31786860561,4.45016E+11,1928502500,135753322310
색즉시공 시즌2,10058849,6756739352,1.28378E+11,640343800,15494034100
코리아,10087280,13632511792,1.77223E+11,363098800,81025004000
사랑,20111954,15140353241,3.17947E+11,384127000,77319445264
사랑,10069182,14088895164,1.12711E+11,706033000,36292848900
"달콤, 살벌한 연인",10028989,7364739057,95741607739,937877400,13579712500
악마를 보았다,10055626,23303988239,3.26256E+11,1159253000,88908642769
극락도 살인사건,10029474,20772740015,4.15455E+11,470675000,66715881300
눈에는 눈 이에는 이,10087518,11578478561,1.5052E+11,934380300,52355568637
타짜-신의 손,10072431,12851262605,77107575630,209955500,32373120927
러브픽션,10087253,29076804145,9.01381E+11,274134500,115706188137
박수칠 때 떠나라,10071140,10677273678,1.60159E+11,599122500,43484892913
집으로 가는 길,10061252,7532783870,75327838698,1651122533,17653752500
광식이 동생 광태,10005749,11122265806,2.00201E+11,844714600,63783051326
전설의 주먹,10090290,26051666498,7.55498E+11,273120000,110933981730
전설의 주먹,20111869,16000667349,1.92008E+11,1913087600,62697419249
평양성,10062279,22083707750,4.1959E+11,230206600,110933981730
평양성,20160139,9177492500,18354984999,636285500,17718699499
그림자 살인,20166542,9030723900,72245791200,969489100,33986449500
임금님의 사건수첩,10055970,7475272746,1.49505E+11,273384900,34222160500
차우,10047367,11162693000,1.2279E+11,1194185500,30220536000
혈의 누,10071140,10677273678,1.60159E+11,599122500,43484892913
공범,10036883,23056183424,3.68899E+11,2027581239,66372140706
더 폰,20111125,11915827646,1.4299E+11,243405000,48700887413
불꽃처럼 나비처럼,20166663,5436347350,32618084100,460596500,12302961500
맨발의 기봉이,10040687,9166187590,91661875900,386192500,28622355500
아내가 결혼했다,10036883,23056183424,3.68899E+11,2027581239,66372140706
그대를 사랑합니다,10056199,9695144840,48475724200,542739500,18567863300
차이나타운,10006380,25105599624,3.51478E+11,1849140000,93665632500
리틀 포레스트,20201026,35101029440,1.05303E+11,11924818185,58167040145
내 머리 속의 지우개,10062025,15739386249,2.20351E+11,2139360500,43488814535
귀신이 산다,10005374,13780269197,4.13408E+11,250534000,105169264250
파파로티,10087518,11578478561,1.5052E+11,934380300,52355568637
부라더,10021341,29021857168,7.25546E+11,315291000,115706188137
하울링,10037018,37632110651,6.77378E+11,4243936350,95868830649
우아한 거짓말,10006537,9624543119,38498172476,2500814949,13571515911
작업의 정석,10036883,23056183424,3.68899E+11,2027581239,66372140706
해무(海霧),10005276,24665075936,6.90622E+11,1453890000,93665632500
피끓는 청춘,10028667,15135598461,1.51356E+11,748936684,53800771400
피끓는 청춘,20154835,20189905200,60569715600,1797632500,54035565100
댄서의 순정,10028409,3976121250,15904485000,659079000,11674131000
비열한 거리,10066899,26855078512,80565235535,11664597600,43488814535
무적자,20111954,15140353241,3.17947E+11,384127000,77319445264
무적자,10069182,14088895164,1.12711E+11,706033000,36292848900
탐정 홍길동: 사라진 마을,20294611,50510565168,50510565168,50510565168,50510565168
탐정 홍길동: 사라진 마을,10057349,15944309591,1.27554E+11,1658653000,30220536000
골든슬럼버,10000558,24448106931,4.64514E+11,1859615500,77319445264
골든슬럼버,20122651,10136738500,10136738500,10136738500,10136738500
인간중독,10037116,5933438626,41534070384,363240500,11629780500
용의자X,10019067,8944762143,1.8784E+11,426257300,52355568637
퍼펙트 게임,10066380,24173591466,2.6591E+11,240262112,98463522781
님은 먼 곳에,10037539,7967388451,79673884505,1073144500,21774884000
우리 형,10052465,26742042700,1.3371E+11,11090682500,47102707500
브이아이피,20294389,63331404986,1.26663E+11,10956621835,115706188137
사생결단,10019067,8944762143,1.8784E+11,426257300,52355568637
실미도,10035772,19385766013,4.26487E+11,759481000,81025004000
바람피기 좋은 날,10006380,25105599624,3.51478E+11,1849140000,93665632500
사라진 밤,10004396,11196881099,1.34363E+11,262191500,44098470600
기억의 밤,20111688,13697294293,1.5067E+11,3554806054,44382020516
무방비도시,10004060,15764048766,2.36461E+11,1246200228,36067171064
특별시민,10072251,31786860561,4.45016E+11,1928502500,135753322310
궁합,10040874,15476710846,2.78581E+11,230047000,88908642769
장산범,10049852,9084123320,99925356522,1258000500,44092710000
유감스러운 도시,10062240,12037769525,1.44453E+11,220051200,55069686503
밀양,10061252,7532783870,75327838698,1651122533,17653752500
구르믈 버서난 달처럼,10090290,26051666498,7.55498E+11,273120000,110933981730
구르믈 버서난 달처럼,20111869,16000667349,1.92008E+11,1913087600,62697419249
고死 : 피의 중간고사,10055581,9494841056,1.89897E+11,220051200,55069686503
원스어폰어타임,10028989,7364739057,95741607739,937877400,13579712500
구세주,10072338,4545859263,36366874100,312851500,13466476000
작전,10029002,10086067500,10086067500,10086067500,10086067500
런닝맨,10040665,10463864360,1.67422E+11,522848900,40328508500
특별수사: 사형수의 편지,10004060,15764048766,2.36461E+11,1246200228,36067171064
은교,10029474,20772740015,4.15455E+11,470675000,66715881300
해빙,10067353,22066928181,8.82677E+11,235292500,135753322310
라디오 스타,10029293,16931436810,1.69314E+11,362910000,81025004000
연애의 목적,10000955,6262909732,68892007055,386192500,40328508500
더 게임,10031400,13303566995,2.52768E+11,250534000,66715881300
권순분여사 납치사건,20166451,19010435000,95052175000,4926508500,44092710000
청춘만화,10002387,11007491975,1.10075E+11,3837152000,26909477678
바람 바람 바람,20110148,22098064665,3.53569E+11,1302907128,82871781800
바람 바람 바람,20195609,3759644486,7519288972,3396292000,4122996972
차형사,10000877,11375417949,45501671796,400965500,26380710000
악녀,10005064,6875921704,75635138749,1728722300,21968680600
시간이탈자,10058646,10310393795,1.23725E+11,217269000,44092710000
흡혈형사 나도열,10004744,8035217370,1.36599E+11,515508500,57570773000
점박이:한반도의 공룡3D,20113891,4004925500,12014776500,750901000,9621468000
청담보살,10058849,6756739352,1.28378E+11,640343800,15494034100
챔피언,10021341,29021857168,7.25546E+11,315291000,115706188137
"당신, 거기 있어줄래요",10005276,24665075936,6.90622E+11,1453890000,93665632500
간기남,10029595,10996595329,2.41925E+11,327192000,58167040145
미스터 고,10035342,9337976000,9337976000,9337976000,9337976000
주먹이 운다(Crying Fist),10072251,31786860561,4.45016E+11,1928502500,135753322310
간첩,10004060,15764048766,2.36461E+11,1246200228,36067171064
심야의 F.M.,10037539,7967388451,79673884505,1073144500,21774884000
찌라시: 위험한 소문,10003507,6640451677,1.26169E+11,304884500,18979312500
하루,10004060,15764048766,2.36461E+11,1246200228,36067171064
궁녀,20110927,8917936683,53507620100,3122965500,23831958600
궁녀,20138308,8851802500,8851802500,8851802500,8851802500
복면달호,10071209,20126261981,3.01894E+11,459220000,115706188137
영화는 영화다,10036685,19238221159,96191105796,7591008500,50510565168
빅매치,10057315,51004139315,7.14058E+11,220051200,115706188137
간신,10069179,31476897055,3.14769E+11,931460100,115706188137
슬로우 비디오,10071209,20126261981,3.01894E+11,459220000,115706188137
미씽: 사라진 여자,20268129,8882181256,8882181256,8882181256,8882181256
동주,20111688,13697294293,1.5067E+11,3554806054,44382020516
킹콩을 들다,10055581,9494841056,1.89897E+11,220051200,55069686503
조폭마누라3,20233266,3479824531,17399122653,728085000,8851336500
검은 집,20130653,3865123500,3865123500,3865123500,3865123500
검은 집,10006392,13164504267,78987025600,8842295700,22209675300
"날, 보러와요",20066563,9520451069,1.04725E+11,297957300,22960890000
돈의 맛,10003507,6640451677,1.26169E+11,304884500,18979312500
바람의 파이터,10046888,3937341956,35436077600,303851500,11220408500
거룩한 계보,10062184,11004243706,2.64102E+11,327192000,40328508500
장수상회,20239046,8737864643,8737864643,8737864643,8737864643
성난 변호사,20238986,7989665618,31958662470,347980800,16155829131
육혈포 강도단,10006877,16706782390,1.83775E+11,1545587500,62697419249
용서는 없다,10035772,19385766013,4.26487E+11,759481000,81025004000
중천,10062025,15739386249,2.20351E+11,2139360500,43488814535
깡철이,10053802,23369531795,2.33695E+11,292031500,105169264250
더 웹툰: 예고살인,10056359,10024273469,70169914283,2705566500,28811011456
R2B: 리턴투베이스,20235446,26526906997,1.59161E+11,218173300,115706188137
R2B: 리턴투베이스,10062267,6254393836,12508787671,3983748800,8525038871
R2B: 리턴투베이스,20160110,7780811000,7780811000,7780811000,7780811000
결혼전야,10003507,6640451677,1.26169E+11,304884500,18979312500
야수와 미녀,10019067,8944762143,1.8784E+11,426257300,52355568637
마파도2,10004748,9956980551,1.89183E+11,389374500,28622355500
가문의 영광5 - 가문의 귀환,20180809,13120808644,26241617287,8330342500,17911274787
가문의 영광5 - 가문의 귀환,20131611,5628200500,5628200500,5628200500,5628200500
내 여자친구를 소개합니다,10061467,50583327745,3.54083E+11,3642176500,98463522781
회사원,10036685,19238221159,96191105796,7591008500,50510565168
간 큰 가족,10000461,12061370462,96490963693,273950500,66014775400
김종욱 찾기,10058646,10310393795,1.23725E+11,217269000,44092710000
고령화 가족,20189890,3719554345,22317326070,357963117,8169492153
그놈이다,20112931,5979715706,29898578531,3396292000,8098811152
특수본,20189890,3719554345,22317326070,357963117,8169492153
오빠생각,20304870,9817333316,29451999949,811692000,20579716662
늑대의 유혹,10000558,24448106931,4.64514E+11,1859615500,77319445264
늑대의 유혹,20122651,10136738500,10136738500,10136738500,10136738500
베스트셀러,10047352,12200116229,1.95202E+11,274964000,81025004000
공모자들,10058849,6756739352,1.28378E+11,640343800,15494034100
시크릿,10071140,10677273678,1.60159E+11,599122500,43484892913
수상한 고객들,10054569,7953428000,7953428000,7953428000,7953428000
홀리데이,20181152,9994888640,29984665919,3511102500,17361815332
홀리데이,20111504,3683228127,33149053142,363240500,9072737842
즐거운 인생,10004448,11877560472,4.15715E+11,728085000,44092710000
방황하는 칼날,20281332,7828891800,7828891800,7828891800,7828891800
방황하는 칼날,20233327,16925756463,33851512926,16155829131,17695683795
만남의 광장,10058849,6756739352,1.28378E+11,640343800,15494034100
인사동 스캔들,10004028,8240750705,74166756349,217269000,23790276987
황진이,10037291,5695629769,28478148847,713525000,12291081634
행복,10090290,26051666498,7.55498E+11,273120000,110933981730
행복,20111869,16000667349,1.92008E+11,1913087600,62697419249
못말리는 결혼,10004748,9956980551,1.89183E+11,389374500,28622355500
파괴된 사나이,10004060,15764048766,2.36461E+11,1246200228,36067171064
불한당: 나쁜 놈들의 세상,10035772,19385766013,4.26487E+11,759481000,81025004000
허브,10000955,6262909732,68892007055,386192500,40328508500
심장이 뛴다,10005297,24064494314,1.92516E+11,1020724600,110933981730
이장과 군수,10071140,10677273678,1.60159E+11,599122500,43484892913
오직 그대만,10036685,19238221159,96191105796,7591008500,50510565168
염력,10019065,28834863777,6.63202E+11,230047000,135753322310
각설탕,10058646,10310393795,1.23725E+11,217269000,44092710000
6년째 연애중,10006171,17422181100,1.91644E+11,363240500,115706188137
6년째 연애중,20227594,20463956973,20463956973,20463956973,20463956973
서양 골동 양과자점 앤티크,10069179,31476897055,3.14769E+11,931460100,115706188137
해적: 바다로 간 산적,10003788,17673107185,2.12077E+11,263049900,66372140706
허삼관,10087253,29076804145,9.01381E+11,274134500,115706188137
미쓰 와이프,10047352,12200116229,1.95202E+11,274964000,81025004000
시체가 돌아왔다,10055581,9494841056,1.89897E+11,220051200,55069686503
시실리 2km,10002465,4314296038,34514368300,366717200,8049487000
싸움의 기술,10030351,17367735244,3.29987E+11,460596500,66007533500
B형 남자친구,10055134,7164618750,14329237500,7004658500,7324579000
우리는 형제입니다,20127194,15438677649,3.08774E+11,359247800,48700887413
원더풀 라디오,20111405,6723806917,40342841500,363899000,19838443000
아저씨,10052465,26742042700,1.3371E+11,11090682500,47102707500
달콤한 인생,10055626,23303988239,3.26256E+11,1159253000,88908642769
"고산자, 대동여지도",20278549,36752148434,1.47009E+11,599122500,93042352648
백야행,10087518,11578478561,1.5052E+11,934380300,52355568637
S 다이어리,10001901,25470824016,2.54708E+11,1651122533,93042352648
방가? 방가!,10005410,16528508726,3.63627E+11,314542400,88908642769
동창생,10072431,12851262605,77107575630,209955500,32373120927
지금 사랑하는 사람과 살고 있습니까?,10028989,7364739057,95741607739,937877400,13579712500
인랑,10000558,24448106931,4.64514E+11,1859615500,77319445264
인랑,20122651,10136738500,10136738500,10136738500,10136738500
살인의뢰,10004396,11196881099,1.34363E+11,262191500,44098470600
가족,10037539,7967388451,79673884505,1073144500,21774884000
최강로맨스,20260509,25541438247,76624314740,363098800,58167040145
최강로맨스,20111341,5946897746,29734488731,334175900,16155829131
뽀로로 극장판 슈퍼썰매 대모험,10055966,4409368675,17637474700,1289929200,6826959500
돈 크라이 마미,10053708,12412433618,1.24124E+11,951843500,60175111015
평행이론,10070224,4815589729,33709128100,359247800,13200412500
분홍신,10006380,25105599624,3.51478E+11,1849140000,93665632500
미스터 소크라테스,10004028,8240750705,74166756349,217269000,23790276987
점쟁이들,10004744,8035217370,1.36599E+11,515508500,57570773000
전국노래자랑,10005410,16528508726,3.63627E+11,314542400,88908642769
주홍글씨,10035898,2002818720,10014093600,625824000,6648786000
짝패,10006484,7038626167,21115878500,5207878000,9322812000
짝패,20125469,35977889975,1.43912E+11,728085000,66715881300
짝패,20125470,14119596500,28239193000,2119494000,26119699000
좋아해줘,20111397,9769572284,39078289137,1974664500,22209675300
